set_id    ,set_name_x                                                          ,release_year ,theme_id ,num_parts ,num_figs ,retail_price ,num_unique_figs ,set_rating ,retire_price ,pop_price ,retire_month ,year ,parts ,raw_price                                                                                                                ,mean_price ,category                                         ,ages   ,list_price          ,num_reviews ,piece_count ,play_star_rating ,review_difficulty ,set_name_y                                         ,star_rating ,theme_name                            ,val_star_rating ,country
60248     ,Fire Helicopter Response                                            ,        2020 ,      58 ,       93 ,       3 ,       17.99 ,              0 ,       4.4 ,      22.74  ,   22.49  ,21-Nov       ,2020 ,   93 ,"['\n$21.29\n', '\n$21.29\n']                                                                                          " ,     21.29 ,City > Fire                                      ,       ,                    ,            ,            ,                 ,                  ,                                                   ,            ,                                      ,                ,
60254     ,Race Boat Transporter                                               ,        2020 ,      52 ,      239 ,       2 ,       24.99 ,              0 ,       4.6 ,      32.19  ,   35.27  ,21-Nov       ,2020 ,  239 ,"['\n$48.00\n', '\n$39.95\n', '\n$26.77\n', '\n$48.00\n', '\n$39.95\n', '\n$26.77\n']                                  " ,     38.24 ,City                                             ,       ,                    ,            ,            ,                 ,                  ,                                                   ,            ,                                      ,                ,
60258     ,Tuning Workshop                                                     ,        2020 ,      52 ,      897 ,       7 ,       89.99 ,              6 ,       4.6 ,      86.17  ,   95.37  ,21-Nov       ,2020 ,  897 ,"['\n$54.89\n', '\n$71.77\n', '\n$54.89\n', '\n$71.77\n']                                                              " ,     63.33 ,City                                             ,       ,                    ,            ,            ,                 ,                  ,                                                   ,            ,                                      ,                ,
60260     ,Air Race                                                            ,        2020 ,      53 ,      140 ,       3 ,       24.99 ,              0 ,       4.6 ,      32.65  ,   42.22  ,21-Dec       ,2020 ,  140 ,"['\n$32.89\n', '\n$28.59\n', '\n$32.89\n', '\n$28.59\n']                                                              " ,     30.74 ,City > Airport                                   ,       ,                    ,            ,            ,                 ,                  ,                                                   ,            ,                                      ,                ,
60273     ,Elite Police Driller Chase                                          ,        2020 ,      61 ,      179 ,       2 ,       17.99 ,              1 ,       4.6 ,      34.4   ,   28.76  ,21-Nov       ,2020 ,  179 ,"['\n$34.96\n', '\n$22.99\n', '\n$39.90\n', '\n$34.96\n', '\n$22.99\n', '\n$39.90\n']                                  " ,     32.62 ,City > Police                                    ,       ,                    ,            ,            ,                 ,                  ,                                                   ,            ,                                      ,                ,
60274     ,Elite Police Lighthouse Arrest                                      ,        2020 ,      61 ,      189 ,       2 ,       17.99 ,              0 ,       4.6 ,      23.22  ,   22.21  ,21-Nov       ,2020 ,  189 ,"['\n$28.89\n', '\n$40.00\n', '\n$28.89\n', '\n$40.00\n']                                                              " ,     34.44 ,City > Police                                    ,       ,                    ,            ,            ,                 ,                  ,                                                   ,            ,                                      ,                ,
71363     ,Desert Pokey Expansion Set                                          ,        2020 ,     690 ,      181 ,       0 ,       17.99 ,              0 ,       4.6 ,      15.97  ,   23.44  ,21-Dec       ,2020 ,  181 ,"['\n$19.99\n', '\n$30.00\n', '\n$19.99\n', '\n$30.00\n']                                                              " ,     24.99 ,Super Mario                                      ,       ,                    ,            ,            ,                 ,                  ,                                                   ,            ,                                      ,                ,
71364     ,Whomp's Lava Trouble Expansion Set                                  ,        2020 ,     690 ,      133 ,       0 ,       17.99 ,              0 ,       4.6 ,      16.65  ,   17.71  ,21-Nov       ,2020 ,  134 ,"['\n$24.80\n', '\n$17.48\n', '\n$20.00\n', '\n$24.80\n', '\n$17.48\n', '\n$20.00\n']                                  " ,     20.76 ,Super Mario                                      ,       ,                    ,            ,            ,                 ,                  ,                                                   ,            ,                                      ,                ,
71365     ,Piranha Plant Power Slide Expansion Set                             ,        2020 ,     690 ,      217 ,       0 ,       24.99 ,              0 ,       4.5 ,      27.74  ,   32.91  ,21-Dec       ,2020 ,  218 ,"['\n$26.99\n', '\n$19.90\n', '\n$26.99\n', '\n$19.90\n']                                                              " ,     23.44 ,Super Mario                                      ,       ,                    ,            ,            ,                 ,                  ,                                                   ,            ,                                      ,                ,
71366     ,Boomer Bill Barrage Expansion Set                                   ,        2020 ,     690 ,      132 ,       0 ,       24.99 ,              0 ,       4.5 ,      23.16  ,   21.61  ,21-Dec       ,2020 ,  133 ,"['\n$29.44\n', '\n$22.79\n', '\n$25.00\n', '\n$29.44\n', '\n$22.79\n', '\n$25.00\n']                                  " ,     25.74 ,Super Mario                                      ,       ,                    ,            ,            ,                 ,                  ,                                                   ,            ,                                      ,                ,
