set_id,set_name_x,release_year,num_parts,num_figs,retail_price,num_unique_figs,set_rating,retire_price,pop_price,category,num_reviews,return
10260,Downtown Diner,2018,2480,6,418.83,6,4.9,212.535,495.31,Modular Buildings,62.0,1.1826
21139,The Nether Fight,2018,84,3,41.86,0,4.7,13.825,37.12,Minecraft,14.0,0.88677
21140,The Chicken Coop,2018,198,1,64.4,0,4.7,22.585,56.0,Minecraft,4.0,0.86957
21141,The Zombie Cave,2018,241,3,64.4,1,4.7,22.22,46.91,Minecraft,2.0,0.72842
21144,The Farm Cottage,2018,549,3,209.4,0,4.8,59.875,131.11,Minecraft,4.0,0.62612
21313,Ship in a Bottle,2018,962,0,225.51,0,4.8,73.56,147.61,LEGO Ideas and CUUSOO,83.0,0.65456
21314,TRON: Legacy,2018,230,3,96.62,3,4.7,30.35,77.83,LEGO Ideas and CUUSOO,30.0,0.80553
31073,Mythical Creatures,2018,223,0,41.86,0,4.8,13.92,39.02,Creator > Creator 3-in-1,5.0,0.93215
31075,Outback Adventures,2018,225,1,57.96,1,4.7,19.165,38.94,Creator > Creator 3-in-1,1.0,0.67184
31076,Daredevil Stunt Plane,2018,200,1,57.96,1,4.7,17.735,38.15,Creator > Creator 3-in-1,1.0,0.65821
31079,Sunshine Surfer Van,2018,379,2,80.52,2,4.7,27.93,71.52,Creator > Creator 3-in-1,5.0,0.88823
31080,Modular Winter Vacation,2018,374,2,80.52,2,4.7,32.815,50.84,Creator > Creator 3-in-1,2.0,0.6314
41151,Mulan's Training Day,2018,104,1,41.86,1,4.4,11.875,22.18,Disney Princess,1.0,0.52986
41152,Sleeping Beauty's Fairytale Castle,2018,322,3,96.62,3,4.8,29.615,65.6,Disney Princess,3.0,0.67895
41153,Ariel's Royal Celebration Boat,2018,380,2,144.96,2,4.3,41.79,89.67,Disney Princess,3.0,0.61858
41155,Elsa's Market Adventure,2018,125,2,57.96,2,4.5,17.86,35.94,Disney > Frozen,14.0,0.62008
41332,Emma's Art Stand,2018,211,0,57.96,0,4.8,18.49,42.38,Friends,14.0,0.73119
41334,Andrea's Park Performance,2018,229,0,64.4,0,4.4,23.455,40.07,Friends,1.0,0.6222
41335,Mia's Tree House,2018,351,0,80.52,0,4.7,38.51,76.73,Friends,2.0,0.95293
41336,Emma's Art Cafe,2018,378,0,96.62,0,4.7,29.13,72.56,Friends,3.0,0.75098
41338,Stephanie's Sports Arena,2018,460,0,128.85,0,4.6,41.36,72.01,Friends,1.0,0.55887
41340,Friendship House,2018,730,0,193.29,0,4.7,59.33,221.19,Friends,7.0,1.14434
41597,Go Brick Me,2018,708,0,83.74,0,4.9,28.68,64.05,Brickheadz,13.0,0.76487
41610,Tactical Batman & Superman,2018,209,0,57.96,0,4.9,19.2,67.12,Brickheadz,14.0,1.15804
41613,Mr. Incredible & Frozone,2018,160,0,57.96,0,4.8,21.77,50.59,Brickheadz,1.0,0.87284
41614,Owen & Blue,2018,234,0,57.96,0,4.7,18.94,35.61,Brickheadz,1.0,0.61439
42072,WHACK!,2018,135,0,57.96,0,4.7,17.605,50.06,Technic,1.0,0.8637
42073,BASH!,2018,139,0,57.96,0,4.7,19.26,43.63,Technic,2.0,0.75276
42074,Racing Yacht,2018,331,0,80.52,0,4.7,38.28,90.83,Technic,5.0,1.12804
42075,First Responder,2018,513,0,112.74,0,4.7,40.08,101.04,Technic,1.0,0.89622
42076,Hovercraft,2018,1020,0,193.29,0,4.4,65.665,131.12,Technic,5.0,0.67836
42077,Rally Car,2018,1005,0,289.95,0,4.5,93.55,208.91,Technic,8.0,0.7205
42078,Mack Anthem,2018,2595,0,451.05,0,4.7,177.325,408.2,Technic,22.0,0.905
60173,Mountain Arrest,2018,303,4,128.85,3,4.6,51.94,111.48,City > Police,2.0,0.86519
60174,Mountain Police Headquarters,2018,663,7,225.51,5,4.7,73.565,199.04,City > Police,8.0,0.88262
60180,Monster Truck,2018,192,1,48.3,1,4.5,16.755,38.36,City > Off-Road,4.0,0.7942
60181,Forest Tractor,2018,174,1,57.96,1,4.7,20.89,46.89,City > Farm,7.0,0.80901
60182,Pickup & Caravan,2018,344,3,80.52,3,4.7,25.98,95.75,City,7.0,1.18915
60183,Heavy Cargo Transport,2018,310,2,80.52,2,4.7,27.865,73.06,City > Traffic,7.0,0.90735
60185,Mining Power Splitter,2018,127,1,41.86,0,4.4,18.4,30.71,City > Construction,1.0,0.73364
60186,Mining Heavy Driller,2018,294,3,128.85,0,4.5,39.435,85.94,City > Construction,1.0,0.66698
60188,Mining Experts Site,2018,883,6,257.73,2,4.7,80.39,208.31,City > Construction,1.0,0.80825
70638,Katana V11,2018,257,2,48.3,2,4.7,19.02,43.99,Ninjago,3.0,0.91077
70641,Ninja Nightcrawler,2018,552,3,112.74,3,4.8,36.465,123.36,Ninjago,4.0,1.0942
70642,Killow vs. Samurai X,2018,556,3,144.96,2,4.9,42.71,105.93,Ninjago,2.0,0.73075
70643,Temple of Resurrection,2018,765,7,193.29,6,4.8,56.245,163.44,Ninjago,6.0,0.84557
70918,The Bat-Dune Buggy,2018,198,2,64.4,1,4.7,18.93,35.74,Super Heroes DC > Batman > The LEGO Batman Movie,2.0,0.55497
70919,The Justice League Anniversary Party,2018,268,4,96.62,4,4.5,29.95,53.04,Super Heroes DC > Batman > The LEGO Batman Movie,5.0,0.54895
70920,Egghead Mech Food Fight,2018,293,3,96.62,2,4.6,26.31,50.26,Super Heroes DC > Batman > The LEGO Batman Movie,11.0,0.52018
70921,Harley Quinn Cannonball Attack,2018,425,4,161.07,3,4.5,46.105,89.43,Super Heroes DC > Batman > The LEGO Batman Movie,5.0,0.55522
70923,The Bat-Space Shuttle,2018,643,6,225.51,4,4.8,71.055,164.68,Super Heroes DC > Batman > The LEGO Batman Movie,9.0,0.73026
75181,Y-Wing Starfighter,2018,1967,2,547.71,2,5.0,176.09,526.62,Star Wars > Ultimate Collector Series,1.0,0.96149
75195,Ski Speeder vs First Order Walker Microfighters,2018,216,2,54.75,1,4.4,16.0,34.19,Star Wars,4.0,0.62447
75196,A-Wing vs. TIE Silencer Microfighters,2018,188,2,54.75,1,4.3,17.12,37.26,Star Wars,3.0,0.68055
75197,First Order Specialists Battle Pack,2018,108,4,41.86,1,4.7,13.135,29.51,Star Wars,15.0,0.70497
75198,Tatooine Battle Pack,2018,97,4,41.86,1,4.5,14.43,27.63,Star Wars,14.0,0.66006
75199,General Grievous' Combat Speeder,2018,157,2,83.74,1,4.7,25.53,76.95,Star Wars,19.0,0.91892
75200,Ahch-To Island Training,2018,241,2,83.74,2,4.5,25.48,45.94,Star Wars,25.0,0.5486
75201,First Order AT-ST,2018,370,4,177.18,3,4.8,44.58,83.98,Star Wars,37.0,0.47398
75202,Defense of Crait,2018,746,5,241.62,3,4.3,67.71,132.47,Star Wars,4.0,0.54826
75204,Sandspeeder,2018,278,2,112.74,2,4.8,33.09,55.61,Star Wars,13.0,0.49326
75205,Mos Eisley Cantina,2018,376,4,144.96,1,4.5,43.77,70.25,Star Wars,14.0,0.48462
75209,Han Solo's Landspeeder,2018,345,2,83.74,2,4.6,27.435,53.72,Star Wars,4.0,0.64151
75210,Moloch's Landspeeder,2018,464,2,144.96,2,4.5,39.38,72.26,Star Wars,2.0,0.49848
75212,Kessel Run Millennium Falcon,2018,1414,7,483.27,5,4.7,152.285,304.3,Star Wars,4.0,0.62967
75535,Han Solo,2018,100,0,83.74,0,4.5,23.82,41.55,Star Wars,14.0,0.49618
75536,Range Trooper,2018,101,0,83.74,0,4.8,24.54,45.8,Star Wars,3.0,0.54693
75537,Darth Maul,2018,104,0,83.74,0,4.8,24.045,51.44,Star Wars,14.0,0.61428
75886,"Ferrari 488 GT3 ""Scuderia Corsa""                               ",2018,186,1,41.86,1,4.8,14.505,43.7,Speed Champions,3.0,1.04396
75887,Porsche 919 Hybrid,2018,170,1,41.86,1,4.8,15.19,43.99,Speed Champions,3.0,1.05088
75888,Porsche 911 RSR and 911 Turbo 3.0,2018,398,3,112.74,3,4.9,33.64,82.64,Speed Champions,4.0,0.73301
75889,Ferrari Ultimate Garage,2018,856,7,289.95,7,4.7,88.835,190.34,Speed Champions,2.0,0.65646
75926,Pteranodon Chase,2018,126,2,64.4,1,4.8,19.16,37.43,Jurassic World,2.0,0.58121
75928,Blue's Helicopter Pursuit,2018,397,3,161.07,2,4.8,41.87,108.87,Jurassic World,14.0,0.67592
75929,Carnotaurus Gyrosphere Escape,2018,577,3,193.29,2,4.8,63.06,156.22,Jurassic World,1.0,0.80822
75930,Indoraptor Rampage at Lockwood,2018,1019,6,386.61,3,4.9,115.61,303.15,Jurassic World,3.0,0.78412
75931,Dilophosaurus Outpost Attack,2018,289,3,144.96,3,4.9,44.515,105.62,Jurassic World,1.0,0.72861
75932,Jurassic Park Velociraptor Chase,2018,360,4,144.96,3,4.8,39.56,87.89,Jurassic World,4.0,0.60631
75933,T-Rex Transport,2018,609,3,193.29,3,4.9,61.645,176.85,Jurassic World,14.0,0.91495
76096,Superman & Krypto Team-Up,2018,208,2,64.4,1,4.7,18.435,34.51,Super Heroes DC > Justice League,1.0,0.53587
76097,Lex Luthor Mech Takedown,2018,415,5,112.74,5,4.7,30.635,62.14,Super Heroes DC > Justice League,5.0,0.55118
76098,Speed Force Freeze Pursuit,2018,280,4,96.62,3,4.7,33.615,65.19,Super Heroes DC > Justice League,6.0,0.67471
76099,Rhino Face-Off by the Mine,2018,229,3,64.4,3,4.7,18.955,35.13,Super Heroes Marvel,6.0,0.5455
76100,Royal Talon Fighter Attack,2018,358,4,96.62,3,4.7,28.205,48.03,Super Heroes Marvel,7.0,0.4971
76101,Outrider Dropship Attack,2018,124,4,38.63,2,4.3,12.06,22.15,Super Heroes Marvel > Avengers,13.0,0.57339
76102,Thor's Weapon Quest,2018,229,3,64.4,2,4.8,18.295,50.94,Super Heroes Marvel > Avengers,10.0,0.79099
