set_id,set_name_x,release_year,num_parts,num_figs,retail_price,num_unique_figs,set_rating,retire_price,pop_price,retire_month,category,return
60248,Fire Helicopter Response,2020,93,3,57.96,0,4.4,22.74,40.37,21-Nov,City > Fire,0.69651
60254,Race Boat Transporter,2020,239,2,80.52,0,4.6,32.19,63.31,21-Nov,City,0.78626
60258,Tuning Workshop,2020,897,7,289.95,6,4.6,86.17,171.19,21-Nov,City,0.59041
60260,Air Race,2020,140,3,80.52,0,4.6,32.65,75.78,21-Dec,City > Airport,0.94113
60273,Elite Police Driller Chase,2020,179,2,57.96,1,4.6,34.4,51.62,21-Nov,City > Police,0.89061
60274,Elite Police Lighthouse Arrest,2020,189,2,57.96,0,4.6,23.22,39.87,21-Nov,City > Police,0.68789
71363,Desert Pokey Expansion Set,2020,181,0,57.96,0,4.6,15.97,42.07,21-Dec,Super Mario,0.72585
71364,Whomp's Lava Trouble Expansion Set,2020,133,0,57.96,0,4.6,16.65,31.79,21-Nov,Super Mario,0.54848
71365,Piranha Plant Power Slide Expansion Set,2020,217,0,80.52,0,4.5,27.74,59.07,21-Dec,Super Mario,0.73361
71366,Boomer Bill Barrage Expansion Set,2020,132,0,80.52,0,4.5,23.16,38.79,21-Dec,Super Mario,0.48174
71369,Bowser's Castle Boss Battle Expansion Set,2020,1010,0,289.95,0,4.6,92.94,210.61,21-Nov,Super Mario,0.72637
71376,Thwomp Drop Expansion Set,2020,393,0,112.74,0,4.6,42.09,83.29,21-Nov,Super Mario,0.73878
71377,King Boo and the Haunted Yard Expansion Set,2020,431,0,144.96,0,4.6,48.69,93.38,22-Jan,Super Mario,0.64418
71699,Thunder Raider,2020,576,1,144.96,1,4.8,67.01,154.84,20-Dec,Ninjago,1.06816
71701,Kai's Fire Dragon,2020,81,2,57.96,0,4.7,18.23,32.79,21-Dec,Ninjago,0.56573
71702,Golden Mech,2020,489,4,112.74,3,4.9,50.56,127.71,20-Dec,Ninjago,1.13278
71704,Kai Fighter,2020,513,4,112.74,1,4.7,43.14,83.83,21-Nov,Ninjago,0.74357
71707,Kai's Mech Jet,2020,226,2,57.96,0,4.6,19.6,44.12,21-Sep,Ninjago,0.76121
71708,Gamer's Market,2020,228,9,96.62,6,4.9,33.43,57.21,21-Oct,Ninjago,0.59211
71717,Journey to the Skull Dungeons,2020,401,4,80.52,0,4.6,29.14,58.39,21-Oct,Ninjago,0.72516
71720,Fire Stone Mech,2020,977,5,209.4,1,4.8,60.56,119.17,21-Oct,Ninjago,0.5691
75265,T-16 Skyhopper vs. Bantha Microfighters,2020,198,2,57.96,1,4.8,18.19,36.99,21-Jan,Star Wars,0.6382
75267,Mandalorian Battle Pack,2020,107,4,41.86,3,4.6,17.73,33.8,22-Mar,Star Wars,0.80745
75269,Duel on Mustafar,2020,208,2,64.4,1,4.7,20.49,49.87,21-Jun,Star Wars,0.77438
75270,Obi-Wan's Hut,2020,200,4,80.52,1,4.6,27.05,50.98,21-Nov,Star Wars,0.63313
75271,Luke Skywalker's Landspeeder,2020,236,2,80.52,1,4.7,27.75,57.82,22-Jan,Star Wars,0.71808
75272,Sith TIE Fighter,2020,470,3,209.4,1,4.5,68.5,118.49,21-Nov,Star Wars,0.56585
75273,Poe Dameron's X-wing Fighter,2020,761,4,289.95,3,4.7,81.59,154.23,21-Nov,Star Wars,0.53192
75274,TIE Fighter Pilot,2020,724,0,177.18,0,4.8,89.59,309.22,22-Jan,Star Wars,1.74523
75275,A-Wing Starfighter,2020,1672,1,576.73,1,4.8,210.6,441.86,21-Nov,Star Wars > Ultimate Collector Series,0.76615
75276,Stormtrooper,2020,647,0,177.18,0,4.8,62.31,222.54,22-Mar,Star Wars,1.25601
75281,Anakin's Jedi Interceptor,2020,248,2,80.52,1,4.7,34.83,77.97,21-Dec,Star Wars,0.96833
75284,Knights of Ren Transport Ship,2020,595,3,209.4,2,4.6,59.37,111.83,21-Dec,Star Wars,0.53405
75291,Death Star Final Duel,2020,775,5,289.95,1,4.9,89.98,192.89,21-Nov,Star Wars,0.66525
75293,Resistance I-TS Transport,2020,932,4,289.95,0,4.6,116.91,186.54,22-Feb,Star Wars,0.64335
75939,Dr. Wu's Lab: Baby Dinosaurs Breakout,2020,164,2,57.96,0,4.7,22.74,37.52,22-Jan,Jurassic World,0.64734
75940,Gallimimus and Pteranodon Breakout,2020,392,3,177.18,0,4.6,41.78,82.53,22-Mar,Jurassic World,0.4658
75941,Indominus rex vs. Ankylosaurus,2020,537,5,289.95,4,4.7,113.2,210.25,21-Dec,Jurassic World,0.72513
75966,Hogwarts Room of Requirement,2020,194,4,57.96,0,4.8,22.0,39.4,22-Mar,Harry Potter,0.67978
75967,Forbidden Forest: Umbridge's Encounter,2020,254,5,80.52,3,4.7,26.6,47.94,22-Jan,Harry Potter,0.59538
76142,Avengers Speeder Bike Attack,2020,251,3,64.4,2,4.7,18.98,45.05,21-Jan,Super Heroes Marvel > Avengers,0.69953
76143,Avengers Truck Take-down,2020,486,4,112.74,3,4.6,31.38,61.42,21-Oct,Super Heroes Marvel > Avengers,0.54479
76147,Vulture's Trucker Robbery,2020,93,3,64.4,2,4.7,19.05,43.85,21-Apr,Super Heroes Marvel > Spider-Man,0.6809
76148,Spider-Man vs. Doc Ock,2020,242,3,64.4,3,4.9,23.52,53.44,21-Apr,Super Heroes Marvel > Spider-Man,0.82981
76149,The Menace of Mysterio,2020,163,3,96.62,1,4.7,27.42,56.38,21-Apr,Super Heroes Marvel > Spider-Man,0.58352
76151,Venomosaurus Ambush,2020,648,5,241.62,2,4.7,86.36,167.81,21-Dec,Super Heroes Marvel > Spider-Man,0.69452
76152,Avengers Wrath of Loki,2020,223,4,177.18,2,4.7,57.4,120.09,21-Jun,Super Heroes Marvel > Avengers,0.67779
76159,Joker's Trike Chase,2020,440,4,144.96,0,4.6,43.22,80.11,21-Nov,Super Heroes DC > Batman,0.55264
76160,Mobile Bat Base,2020,743,6,257.73,4,4.6,83.83,146.04,21-Oct,Super Heroes DC > Batman,0.56664
76162,Black Widow's Helicopter Chase,2020,271,3,80.52,0,4.7,45.92,76.86,22-Mar,Super Heroes Marvel,0.95455
76164,Iron Man Hulkbuster versus A.I.M. Agent,2020,456,4,161.07,2,4.7,36.55,85.57,22-Mar,Super Heroes Marvel > Avengers,0.53126
76165,Iron Man,2020,480,0,177.18,0,4.8,73.32,166.11,21-Oct,Super Heroes Marvel > Iron Man,0.93752
76167,Iron Man Armory,2020,258,5,80.52,2,4.6,31.2,68.98,22-Mar,Super Heroes Marvel > Avengers,0.85668
76895,Ferrari F8 Tributo,2020,278,1,57.96,1,4.7,24.2,49.92,21-Nov,Speed Champions,0.86128
76896,Nissan GT-R NISMO,2020,301,1,57.96,1,4.8,23.31,59.5,22-Mar,Speed Champions,1.02657
76897,1985 Audi Sport quattro S1,2020,253,1,57.96,1,4.6,24.96,45.72,21-Nov,Speed Champions,0.78882
76898,Formula E Panasonic Jaguar Racing GEN2 car & Jaguar I-PACE eTROPHY,2020,571,2,112.74,0,4.8,35.46,78.87,22-Jan,Speed Champions,0.69957
77905,Taskmaster's Ambush,2020,230,3,101.78,0,4.8,75.99,112.22,20-Oct,Super Heroes Marvel,1.10257
77906,Wonder Woman,2020,255,3,112.74,1,4.7,48.85,60.58,20-Oct,Super Heroes DC,0.53734
77907,Toad's Special Hideaway Expansion Set,2020,121,0,57.96,0,4.9,63.96,125.4,21-Mar,Super Mario,2.16356
80007,Iron Bull Tank,2020,430,4,128.85,0,4.7,60.2,123.39,22-May,Monkie Kid,0.95763
