ages   ,list_price            ,num_reviews ,piece_count ,play_star_rating ,set_id  ,review_difficulty ,set_name                                                  ,star_rating ,theme_name                            ,val_star_rating ,country
12-Jun ,  29.99               ,          2 ,        277 ,             4   ,  75823 ,Average           ,Bird Island Egg Heist                                     ,        4.5 ,Angry Birds™                          ,            4   ,US
12-Jun ,  19.99               ,          2 ,        168 ,             4   ,  75822 ,Easy              ,Piggy Plane Attack                                        ,        5   ,Angry Birds™                          ,            4   ,US
12-Jun ,  12.99               ,         11 ,         74 ,             4.3 ,  75821 ,Easy              ,Piggy Car Escape                                          ,        4.3 ,Angry Birds™                          ,            4.1 ,US
12+    ,  99.99               ,         23 ,       1032 ,             3.6 ,  21030 ,Average           ,United States Capitol Building                            ,        4.6 ,Architecture                          ,            4.3 ,US
12+    ,  79.99               ,         14 ,        744 ,             3.2 ,  21035 ,Challenging       ,Solomon R. Guggenheim Museum®                             ,        4.6 ,Architecture                          ,            4.1 ,US
12+    ,  59.99               ,          7 ,        597 ,             3.7 ,  21039 ,Average           ,Shanghai                                                  ,        4.9 ,Architecture                          ,            4.4 ,US
12+    ,  59.99               ,         37 ,        598 ,             3.7 ,  21028 ,Average           ,New York City                                             ,        4.2 ,Architecture                          ,            4.1 ,US
12+    ,  49.99               ,         24 ,        780 ,             4.4 ,  21029 ,Average           ,Buckingham Palace                                         ,        4.7 ,Architecture                          ,            4.3 ,US
12+    ,  39.99               ,         23 ,        468 ,             3.6 ,  21034 ,Average           ,London                                                    ,        4.7 ,Architecture                          ,            4.1 ,US
12+    ,  39.99               ,         11 ,        444 ,             3.6 ,  21033 ,Average           ,Chicago                                                   ,        4.8 ,Architecture                          ,            4.5 ,US
12+    ,  39.99               ,         14 ,        386 ,             4.1 ,  21036 ,Average           ,Arc de Triomphe                                           ,        4.4 ,Architecture                          ,            3.6 ,US
12+    ,  34.99               ,         53 ,        321 ,             3.2 ,  21019 ,Average           ,The Eiffel Tower                                          ,        4.6 ,Architecture                          ,            4.4 ,US
12+    ,  29.99               ,          7 ,        361 ,             4.2 ,  21032 ,Easy              ,Sydney                                                    ,        4.6 ,Architecture                          ,            4.2 ,US
12-Jul , 159.99               ,         63 ,        847 ,             3.8 ,  17101 ,Average           ,BOOST Creative Toolbox                                    ,        3.4 ,BOOST                                 ,            3.5 ,US
10+    ,  29.99               ,         13 ,        708 ,             4.7 ,  41597 ,Average           ,Go Brick Me                                               ,        4.8 ,BrickHeadz                            ,            4.8 ,US
10+    ,  19.99               ,          1 ,        234 ,             3   ,  41614 ,Easy              ,Owen & Blue                                               ,        5   ,BrickHeadz                            ,            5   ,US
10+    ,  19.99               ,          1 ,        160 ,             5   ,  41613 ,Very Easy         ,Mr. Incredible & Frozone                                  ,        5   ,BrickHeadz                            ,            5   ,US
10+    ,   9.99               ,          1 ,        149 ,             2   ,  41609 ,Very Easy         ,Chewbacca™                                                ,        3   ,BrickHeadz                            ,            4   ,US
10+    ,   9.99               ,          1 ,        141 ,             2   ,  41608 ,Very Easy         ,Han Solo™                                                 ,        4   ,BrickHeadz                            ,            4   ,US
10+    ,   9.99               ,          3 ,        101 ,             4   ,  41604 ,Average           ,Iron Man MK50                                             ,        4.7 ,BrickHeadz                            ,            4.5 ,US
10+    ,   9.99               ,          2 ,        105 ,             3   ,  41605 ,Easy              ,Thanos                                                    ,        5   ,BrickHeadz                            ,            5   ,US
10+    ,   9.99               ,          1 ,        113 ,             5   ,  41606 ,Easy              ,Star-Lord                                                 ,        5   ,BrickHeadz                            ,            5   ,US
10+    ,   9.99               ,          1 ,        136 ,                 ,  41607 ,                  ,Gamora                                                    ,        5   ,BrickHeadz                            ,                ,US
10+    ,   9.99               ,          2 ,         91 ,             3   ,  41485 ,Easy              ,Finn                                                      ,        4.5 ,BrickHeadz                            ,            4   ,US
10+    ,   9.99               ,          7 ,        140 ,             3.2 ,  40270 ,Easy              ,Valentine's Bee                                           ,        4.9 ,BrickHeadz                            ,            4.7 ,US
10+    ,   9.99               ,          5 ,        143 ,             4.6 ,  41599 ,Easy              ,Wonder Woman™                                             ,        5   ,BrickHeadz                            ,            5   ,US
10+    ,   9.99               ,          3 ,        122 ,             2.7 ,  41598 ,Very Easy         ,The Flash™                                                ,        4   ,BrickHeadz                            ,            3   ,US
10+    ,   9.99               ,          5 ,        130 ,             4.3 ,  41603 ,Easy              ,Kylo Ren™                                                 ,        5   ,BrickHeadz                            ,            4.8 ,US
10+    ,   9.99               ,          3 ,        119 ,             4.5 ,  41602 ,Easy              ,Rey                                                       ,        5   ,BrickHeadz                            ,            4.5 ,US
10+    ,   9.99               ,          1 ,        135 ,             1   ,  41600 ,Very Easy         ,Aquaman™                                                  ,        4   ,BrickHeadz                            ,            3   ,US
10+    ,   9.99               ,          2 ,        108 ,             3.5 ,  41601 ,Easy              ,Cyborg™                                                   ,        5   ,BrickHeadz                            ,            4   ,US
10+    ,  19.99               ,          1 ,        240 ,             3   ,  41611 ,Easy              ,Marty McFly & Doc Brown                                   ,        5   ,BrickHeadz                            ,            5   ,US
10+    ,  19.99               ,            ,        209 ,                 ,  41610 ,                  ,Tactical Batman™ & Superman™                              ,            ,BrickHeadz                            ,                ,US
10+    ,   9.99               ,          4 ,        126 ,             2   ,  40271 ,Easy              ,Easter Bunny                                              ,        5   ,BrickHeadz                            ,            4.5 ,US
10+    ,   9.99               ,          7 ,        102 ,             4   ,  41487 ,Easy              ,Lloyd                                                     ,        5   ,BrickHeadz                            ,            4.7 ,US
10+    ,   9.99               ,          5 ,         89 ,             3.2 ,  41488 ,Very Easy         ,Master Wu                                                 ,        4.4 ,BrickHeadz                            ,            4   ,US
10+    ,   9.99               ,          6 ,        118 ,             3.3 ,  41594 ,Very Easy         ,Captain Armando Salazar                                   ,        5   ,BrickHeadz                            ,            4.7 ,US
10+    ,   9.99               ,          3 ,        127 ,             3.5 ,  41486 ,Very Easy         ,Captain Phasma™                                           ,        4.7 ,BrickHeadz                            ,            4.7 ,US
10+    ,   9.99               ,         11 ,         91 ,             3.8 ,  41585 ,Very Easy         ,Batman™                                                   ,        4.9 ,BrickHeadz                            ,            4.7 ,US
10+    ,   9.99               ,          8 ,         96 ,             4   ,  41590 ,Easy              ,Iron Man                                                  ,        4.9 ,BrickHeadz                            ,            4.4 ,US
10+    ,   9.99               ,          9 ,        109 ,             3.6 ,  41593 ,Easy              ,Captain Jack Sparrow                                      ,        4.8 ,BrickHeadz                            ,            4.6 ,US
10+    ,   9.99               ,          8 ,         93 ,             3.9 ,  41592 ,Easy              ,The Hulk                                                  ,        4.6 ,BrickHeadz                            ,            4.1 ,US
10+    ,   9.99               ,         10 ,        139 ,             4.2 ,  41595 ,Easy              ,Belle                                                     ,        4.8 ,BrickHeadz                            ,            4.7 ,US
10+    ,   9.99               ,          2 ,        116 ,             5   ,  41596 ,Average           ,Beast                                                     ,        5   ,BrickHeadz                            ,            5   ,US
10+    ,   9.99               ,         12 ,        151 ,             3.3 ,  41588 ,Easy              ,The Joker™                                                ,        4.8 ,BrickHeadz                            ,            4.7 ,US
10+    ,   9.99               ,          4 ,        143 ,             3.5 ,  41591 ,Easy              ,Black Widow                                               ,        4.8 ,BrickHeadz                            ,            4.8 ,US
10+    ,   9.99               ,         10 ,        101 ,             4.3 ,  41587 ,Very Easy         ,Robin™                                                    ,        4.8 ,BrickHeadz                            ,            4.9 ,US
10+    ,   9.99               ,          9 ,         99 ,             3.5 ,  41586 ,Easy              ,Batgirl™                                                  ,        4.3 ,BrickHeadz                            ,            4.6 ,US
12-May ,  49.99               ,            ,        387 ,                 ,  60175 ,                  ,Mountain River Heist                                      ,            ,City                                  ,                ,US
12-Jun , 199.99               ,         35 ,        888 ,             4.7 ,  60052 ,Average           ,Cargo Train                                               ,        4.4 ,City                                  ,            3.8 ,US
12-Jun , 149.99               ,         45 ,        610 ,             4.4 ,  60051 ,Average           ,High-speed Passenger Train                                ,        4.4 ,City                                  ,            4   ,US
12-Aug , 149.99               ,          1 ,       1250 ,             5   ,  60162 ,Average           ,Jungle Air Drop Helicopter                                ,        5   ,City                                  ,            4   ,US
12-Jun , 119.99               ,          3 ,        792 ,             3.3 ,  60167 ,Average           ,Coast Guard Head Quarters                                 ,        3.7 ,City                                  ,            3.3 ,US
12-Aug , 119.99               ,          6 ,        813 ,             4.5 ,  60161 ,Average           ,Jungle Exploration Site                                   ,        4.3 ,City                                  ,            4   ,US
12-Jun ,  99.99               ,         10 ,        894 ,             4.2 ,  60141 ,Easy              ,Police Station                                            ,        4.7 ,City                                  ,            4   ,US
12-Jul ,  99.99               ,          1 ,        883 ,             5   ,  60188 ,                  ,Mining Experts Site                                       ,        5   ,City                                  ,            5   ,US
12-Jun ,  99.99               ,         16 ,        919 ,             4.5 ,  60110 ,Average           ,Fire Station                                              ,        4.6 ,City                                  ,            4.6 ,US
12-Jun ,  89.99               ,          8 ,        663 ,             4.4 ,  60174 ,Average           ,Mountain Police Headquarters                              ,        4.6 ,City                                  ,            4   ,US
12-Jun ,  79.99               ,          4 ,        740 ,             5   ,  60169 ,Average           ,Cargo Terminal                                            ,        5   ,City                                  ,            4.3 ,US
12-May ,  69.99               ,          9 ,        561 ,             3.9 ,  60140 ,Easy              ,Bulldozer Break-in                                        ,        3.3 ,City                                  ,            3.6 ,US
12-Jul ,  59.99               ,          3 ,        426 ,             4.7 ,  60160 ,Average           ,Jungle Mobile Lab                                         ,        5   ,City                                  ,            4.7 ,US
12-May ,  59.99               ,          2 ,        303 ,             4.5 ,  60173 ,Average           ,Mountain Arrest                                           ,        4   ,City                                  ,            2.5 ,US
12-Jun ,  59.99               ,          8 ,        415 ,             4.4 ,  60166 ,Challenging       ,Heavy-duty Rescue Helicopter                              ,        4.4 ,City                                  ,            4   ,US
12-Jun ,  49.99               ,         10 ,        374 ,             3.9 ,  60139 ,Easy              ,Mobile Command Center                                     ,        4   ,City                                  ,            3.3 ,US
12-May ,  49.99               ,         16 ,        337 ,             3.6 ,  60154 ,Easy              ,Bus Station                                               ,        3.3 ,City                                  ,            2.7 ,US
12-May ,  49.99               ,          1 ,        294 ,             4   ,  60186 ,Average           ,Mining Heavy Driller                                      ,        5   ,City                                  ,            4   ,US
12-May ,  39.99               ,         10 ,        169 ,             4.3 ,  60153 ,Very Easy         ,People pack – Fun at the beach                            ,        4.1 ,City                                  ,            3.6 ,US
12-May ,  39.99               ,         14 ,        294 ,             4.2 ,  60138 ,Average           ,High-speed Chase                                          ,        4.2 ,City                                  ,            4.1 ,US
12-May ,  39.99               ,          2 ,        347 ,             4.5 ,  60165 ,Very Easy         ,4 x 4 Response Unit                                       ,        5   ,City                                  ,            5   ,US
12-May ,  39.99               ,            ,        297 ,                 ,  60172 ,                  ,Dirt Road Pursuit                                         ,            ,City                                  ,                ,US
12-Jun ,  39.99               ,          5 ,        378 ,             4.8 ,  60159 ,Easy              ,Jungle Halftrack Mission                                  ,        4.8 ,City                                  ,            4.6 ,US
12-May ,  39.99               ,          8 ,        257 ,             4.2 ,  60108 ,Average           ,Fire Response Unit                                        ,        3.9 ,City                                  ,            3.8 ,US
12-May ,  29.99               ,          7 ,        344 ,             5   ,  60182 ,Easy              ,Pickup & Caravan                                          ,        5   ,City                                  ,            5   ,US
12-May ,  29.99               ,          7 ,        310 ,             4.4 ,  60183 ,Easy              ,Heavy Cargo Transport                                     ,        4.7 ,City                                  ,            4.7 ,US
12-May ,  24.99               ,         11 ,        214 ,             4.5 ,  60107 ,Easy              ,Fire Ladder Truck                                         ,        4.5 ,City                                  ,            4.1 ,US
12-Jun ,  19.99               ,          4 ,        192 ,             5   ,  60180 ,Average           ,Monster Truck                                             ,        5   ,City                                  ,            5   ,US
12-May ,  19.99               ,         35 ,        249 ,             4.6 ,  60150 ,Easy              ,Pizza Van                                                 ,        4.9 ,City                                  ,            4.8 ,US
