id,name,category,year,parts,raw_price,mean_price
21036-1,Arc de Triomphe,Architecture,2017,386,"['\n$73.87\n', '\n$73.87\n']",73.87
21050-1,Architecture Studio,Architecture,2013,1211,[],0
21027-1,Berlin,Architecture > Skylines,2016,289,"['\n$380.00\n', '\n$380.00\n']",380
21013-1,Big Ben,Architecture,2012,346,[],0
21029-1,Buckingham Palace,Architecture,2016,780,"['\n$105.12\n', '\n$105.12\n']",105.12
21008-1,Burj Khalifa,Architecture,2011,208,[],0
21031-1,Burj Khalifa,Architecture,2016,333,[],0
21055-1,Burj Khalifa,Architecture,2019,333,"['\n$133.99\n', '\n$99.12\n', '\n$133.99\n', '\n$99.12\n']",116.56
21033-1,Chicago,Architecture > Skylines,2017,444,"['\n$200.00\n', '\n$200.00\n']",200
21052-1,Dubai,Architecture > Skylines,2020,740,"['\n$82.49\n', '\n$57.99\n', '\n$73.34\n', '\n$82.49\n', '\n$57.99\n', '\n$73.34\n']",71.27
21002-1,Empire State Building,Architecture,2009,77,"['\n$49.95\n', '\n$49.95\n']",49.95
21046-1,Empire State Building,Architecture,2019,1767,"['\n$110.00\n', '\n$116.99\n', '\n$110.00\n', '\n$116.99\n']",113.5
21005-1,Fallingwater,Architecture,2009,811,[],0
21009-1,Farnsworth House,Architecture,2011,546,[],0
21023-1,Flatiron Building,Architecture,2015,471,"['\n$63.64\n', '\n$63.64\n']",63.64
21058-1,Great Pyramid of Giza,Architecture,2022,1476,"['\n$129.99\n', '\n$120.00\n', '\n$129.99\n', '\n$111.80\n', '\n$129.99\n', '\n$120.00\n', '\n$129.99\n', '\n$111.80\n']",122.94
21017-1,Imperial Hotel,Architecture,2013,1188,"['\n$178.51\n', '\n$178.51\n']",178.51
21001-1,John Hancock Center,Architecture,2008,69,[],0
19720-1,John Hancock Center (Brickstructures Version),Architecture,2008,69,[],0
21038-1,Las Vegas,Architecture > Skylines,2017,487,[],0
21047-1,Las Vegas,Architecture > Skylines,2018,501,"['\n$87.98\n', '\n$62.50\n', '\n$87.98\n', '\n$62.50\n']",75.24
4000038-1,LEGO Campus,Architecture,2022,1461,"['\n$129.99\n', '\n$1,099.00\n', '\n$129.99\n', '\n$1,099.00\n']",614.5
21037-1,LEGO House,Architecture,2017,774,"['\n$111.07\n', '\n$111.07\n']",111.07
21022-1,Lincoln Memorial,Architecture,2015,274,"['\n$75.37\n', '\n$75.37\n']",75.37
21034-1,London,Architecture > Skylines,2016,468,"['\n$39.99\n', '\n$21.81\n', '\n$39.95\n', '\n$39.99\n', '\n$21.81\n', '\n$39.95\n']",33.92
21024-1,Louvre,Architecture,2015,695,"['\n$132.89\n', '\n$132.89\n']",132.89
21021-1,Marina Bay Sands,Architecture,2014,602,[],0
21028-1,New York City,Architecture > Skylines,2016,598,"['\n$59.99\n', '\n$87.29\n', '\n$59.99\n', '\n$87.29\n']",73.64
21044-1,Paris,Architecture > Skylines,2019,649,"['\n$44.99\n', '\n$49.99\n', '\n$48.95\n', '\n$44.99\n', '\n$49.99\n', '\n$48.95\n']",47.98
21010-1,Robie House,Architecture,2011,2276,"['\n$607.97\n', '\n$607.97\n']",607.97
21007-1,Rockefeller Center,Architecture,2010,240,[],0
6291437-1,Sakura Tree,Architecture,2020,147,[],0
21043-1,San Francisco,Architecture > Skylines,2019,565,"['\n$79.95\n', '\n$79.99\n', '\n$79.95\n', '\n$79.99\n']",79.97
21000-1,Sears Tower,Architecture,2008,69,[],0
19710-1,Sears Tower (Brickstructures Version),Architecture,2008,68,[],0
21003-1,Seattle Space Needle,Architecture,2009,57,"['\n$175.00\n', '\n$175.00\n']",175
21039-1,Shanghai,Architecture > Skylines,2018,597,"['\n$114.98\n', '\n$99.00\n', '\n$114.98\n', '\n$99.00\n']",106.99
21057-1,Singapore,Architecture > Skylines,2022,836,"['\n$58.90\n', '\n$59.99\n', '\n$77.49\n', '\n$58.90\n', '\n$50.99\n', '\n$59.99\n', '\n$77.49\n']",63.39
21004-1,Solomon R. Guggenheim Museum,Architecture,2009,208,[],0
21035-1,Solomon R. Guggenheim Museum,Architecture,2017,744,"['\n$138.84\n', '\n$138.84\n']",138.84
21042-1,Statue of Liberty,Architecture,2018,1685,"['\n$99.95\n', '\n$119.99\n', '\n$128.48\n', '\n$99.95\n', '\n$119.99\n', '\n$128.48\n']",116.14
21016-1,Sungnyemun,Architecture,2012,325,[],0
21032-1,Sydney,Architecture > Skylines,2017,361,"['\n$242.58\n', '\n$242.58\n']",242.58
21012-1,Sydney Opera House,Architecture,2012,270,[],0
21056-1,Taj Mahal,Architecture,2021,2024,"['\n$97.50\n', '\n$119.99\n', '\n$199.00\n', '\n$97.50\n', '\n$119.99\n', '\n$199.00\n']",138.83
21015-1,The Leaning Tower of Pisa,Architecture,2013,345,"['\n$142.05\n', '\n$142.05\n']",142.05
21054-1,The White House,Architecture,2020,1483,"['\n$300.00\n', '\n$99.99\n', '\n$169.00\n', '\n$300.00\n', '\n$99.99\n', '\n$169.00\n']",189.66
21051-1,Tokyo,Architecture > Skylines,2020,547,"['\n$59.99\n', '\n$44.99\n', '\n$59.99\n', '\n$115.00\n', '\n$59.99\n', '\n$44.99\n', '\n$59.99\n', '\n$115.00\n']",69.99
21045-1,Trafalgar Square,Architecture,2019,1197,"['\n$119.99\n', '\n$115.99\n', '\n$119.99\n', '\n$115.99\n']",117.99
21020-1,Trevi Fountain,Architecture,2014,731,[],0
21018-1,United Nations Headquarters,Architecture,2013,597,"['\n$179.98\n', '\n$179.98\n']",179.98
