set_id,set_name_x,release_year,num_parts,num_figs,retail_price,num_unique_figs,set_rating,pop_price,category,return
60248,Fire Helicopter Response,2020,93,3,57.96,0,4.4,40.37,City > Fire,0.69651
60254,Race Boat Transporter,2020,239,2,80.52,0,4.6,63.31,City,0.78626
60258,Tuning Workshop,2020,897,7,289.95,6,4.6,171.19,City,0.59041
60260,Air Race,2020,140,3,80.52,0,4.6,75.78,City > Airport,0.94113
60273,Elite Police Driller Chase,2020,179,2,57.96,1,4.6,51.62,City > Police,0.89061
60274,Elite Police Lighthouse Arrest,2020,189,2,57.96,0,4.6,39.87,City > Police,0.68789
71363,Desert Pokey Expansion Set,2020,181,0,57.96,0,4.6,42.07,Super Mario,0.72585
71364,Whomp's Lava Trouble Expansion Set,2020,133,0,57.96,0,4.6,31.79,Super Mario,0.54848
71365,Piranha Plant Power Slide Expansion Set,2020,217,0,80.52,0,4.5,59.07,Super Mario,0.73361
71366,Boomer Bill Barrage Expansion Set,2020,132,0,80.52,0,4.5,38.79,Super Mario,0.48174
71369,Bowser's Castle Boss Battle Expansion Set,2020,1010,0,289.95,0,4.6,210.61,Super Mario,0.72637
71376,Thwomp Drop Expansion Set,2020,393,0,112.74,0,4.6,83.29,Super Mario,0.73878
71377,King Boo and the Haunted Yard Expansion Set,2020,431,0,144.96,0,4.6,93.38,Super Mario,0.64418
71699,Thunder Raider,2020,576,1,144.96,1,4.8,154.84,Ninjago,1.06816
71701,Kai's Fire Dragon,2020,81,2,57.96,0,4.7,32.79,Ninjago,0.56573
71702,Golden Mech,2020,489,4,112.74,3,4.9,127.71,Ninjago,1.13278
71704,Kai Fighter,2020,513,4,112.74,1,4.7,83.83,Ninjago,0.74357
71707,Kai's Mech Jet,2020,226,2,57.96,0,4.6,44.12,Ninjago,0.76121
71708,Gamer's Market,2020,228,9,96.62,6,4.9,57.21,Ninjago,0.59211
71717,Journey to the Skull Dungeons,2020,401,4,80.52,0,4.6,58.39,Ninjago,0.72516
71720,Fire Stone Mech,2020,977,5,209.4,1,4.8,119.17,Ninjago,0.5691
75265,T-16 Skyhopper vs. Bantha Microfighters,2020,198,2,57.96,1,4.8,36.99,Star Wars,0.6382
75267,Mandalorian Battle Pack,2020,107,4,41.86,3,4.6,33.8,Star Wars,0.80745
75269,Duel on Mustafar,2020,208,2,64.4,1,4.7,49.87,Star Wars,0.77438
75270,Obi-Wan's Hut,2020,200,4,80.52,1,4.6,50.98,Star Wars,0.63313
75271,Luke Skywalker's Landspeeder,2020,236,2,80.52,1,4.7,57.82,Star Wars,0.71808
75272,Sith TIE Fighter,2020,470,3,209.4,1,4.5,118.49,Star Wars,0.56585
75273,Poe Dameron's X-wing Fighter,2020,761,4,289.95,3,4.7,154.23,Star Wars,0.53192
75274,TIE Fighter Pilot,2020,724,0,177.18,0,4.8,309.22,Star Wars,1.74523
75275,A-Wing Starfighter,2020,1672,1,576.73,1,4.8,441.86,Star Wars > Ultimate Collector Series,0.76615
75276,Stormtrooper,2020,647,0,177.18,0,4.8,222.54,Star Wars,1.25601
75281,Anakin's Jedi Interceptor,2020,248,2,80.52,1,4.7,77.97,Star Wars,0.96833
75284,Knights of Ren Transport Ship,2020,595,3,209.4,2,4.6,111.83,Star Wars,0.53405
75291,Death Star Final Duel,2020,775,5,289.95,1,4.9,192.89,Star Wars,0.66525
75293,Resistance I-TS Transport,2020,932,4,289.95,0,4.6,186.54,Star Wars,0.64335
75939,Dr. Wu's Lab: Baby Dinosaurs Breakout,2020,164,2,57.96,0,4.7,37.52,Jurassic World,0.64734
75940,Gallimimus and Pteranodon Breakout,2020,392,3,177.18,0,4.6,82.53,Jurassic World,0.4658
75941,Indominus rex vs. Ankylosaurus,2020,537,5,289.95,4,4.7,210.25,Jurassic World,0.72513
75966,Hogwarts Room of Requirement,2020,194,4,57.96,0,4.8,39.4,Harry Potter,0.67978
75967,Forbidden Forest: Umbridge's Encounter,2020,254,5,80.52,3,4.7,47.94,Harry Potter,0.59538
76142,Avengers Speeder Bike Attack,2020,251,3,64.4,2,4.7,45.05,Super Heroes Marvel > Avengers,0.69953
76143,Avengers Truck Take-down,2020,486,4,112.74,3,4.6,61.42,Super Heroes Marvel > Avengers,0.54479
76147,Vulture's Trucker Robbery,2020,93,3,64.4,2,4.7,43.85,Super Heroes Marvel > Spider-Man,0.6809
76148,Spider-Man vs. Doc Ock,2020,242,3,64.4,3,4.9,53.44,Super Heroes Marvel > Spider-Man,0.82981
76149,The Menace of Mysterio,2020,163,3,96.62,1,4.7,56.38,Super Heroes Marvel > Spider-Man,0.58352
76151,Venomosaurus Ambush,2020,648,5,241.62,2,4.7,167.81,Super Heroes Marvel > Spider-Man,0.69452
76152,Avengers Wrath of Loki,2020,223,4,177.18,2,4.7,120.09,Super Heroes Marvel > Avengers,0.67779
76159,Joker's Trike Chase,2020,440,4,144.96,0,4.6,80.11,Super Heroes DC > Batman,0.55264
76160,Mobile Bat Base,2020,743,6,257.73,4,4.6,146.04,Super Heroes DC > Batman,0.56664
76162,Black Widow's Helicopter Chase,2020,271,3,80.52,0,4.7,76.86,Super Heroes Marvel,0.95455
76164,Iron Man Hulkbuster versus A.I.M. Agent,2020,456,4,161.07,2,4.7,85.57,Super Heroes Marvel > Avengers,0.53126
76165,Iron Man,2020,480,0,177.18,0,4.8,166.11,Super Heroes Marvel > Iron Man,0.93752
76167,Iron Man Armory,2020,258,5,80.52,2,4.6,68.98,Super Heroes Marvel > Avengers,0.85668
76895,Ferrari F8 Tributo,2020,278,1,57.96,1,4.7,49.92,Speed Champions,0.86128
76896,Nissan GT-R NISMO,2020,301,1,57.96,1,4.8,59.5,Speed Champions,1.02657
76897,1985 Audi Sport quattro S1,2020,253,1,57.96,1,4.6,45.72,Speed Champions,0.78882
76898,Formula E Panasonic Jaguar Racing GEN2 car & Jaguar I-PACE eTROPHY,2020,571,2,112.74,0,4.8,78.87,Speed Champions,0.69957
77905,Taskmaster's Ambush,2020,230,3,101.78,0,4.8,112.22,Super Heroes Marvel,1.10257
77906,Wonder Woman,2020,255,3,112.74,1,4.7,60.58,Super Heroes DC,0.53734
77907,Toad's Special Hideaway Expansion Set,2020,121,0,57.96,0,4.9,125.4,Super Mario,2.16356
80007,Iron Bull Tank,2020,430,4,128.85,0,4.7,123.39,Monkie Kid,0.95763
80009,Pigsy's Food Truck,2020,832,5,177.18,1,4.8,152.77,Monkie Kid,0.86223
80010,Demon Bull King,2020,1051,3,241.62,0,4.8,302.21,Monkie Kid,1.25077
80016,The Flaming Foundry,2020,1429,7,386.61,1,4.6,245.2,Monkie Kid,0.63423
92177,Ship in a Bottle,2020,962,0,225.51,0,4.8,159.68,LEGO Ideas and CUUSOO,0.70808
10269,Harley-Davidson Fat Boy,2019,1023,0,273.85,0,4.9,194.27,Creator > Creator Expert,0.7094
11004,Windows of Creativity,2019,450,0,80.52,0,4.7,86.95,Classic,1.07986
11005,Creative Fun,2019,900,0,96.62,0,4.4,60.24,Classic,0.62347
21043,San Francisco,2019,565,0,144.96,0,4.7,111.43,Architecture > Skylines,0.76869
21055,Burj Khalifa,2019,333,0,144.96,0,4.9,170.27,Architecture,1.1746
21148,Minecraft Steve BigFig with Parrot,2019,159,0,41.86,0,4.9,51.46,Minecraft,1.22934
21149,Minecraft Alex BigFig with Chicken,2019,160,0,41.86,0,4.8,43.12,Minecraft,1.0301
21150,Minecraft Skeleton BigFig with Magma Cube,2019,142,0,41.86,0,4.8,46.2,Minecraft,1.10368
21151,The End Battle,2019,222,2,64.4,0,4.7,54.14,Minecraft,0.84068
21153,The Wool Farm,2019,260,1,64.4,0,4.6,32.36,Minecraft,0.50248
21154,The Blaze Bridge,2019,372,4,128.85,2,4.7,54.12,Minecraft,0.42002
21155,The Creeper Mine,2019,834,4,257.73,2,4.7,156.92,Minecraft,0.60885
21316,The Flintstones,2019,748,4,177.18,0,5,135.11,LEGO Ideas and CUUSOO,0.76256
21317,Steamboat Willie,2019,751,2,257.73,0,5,219.37,LEGO Ideas and CUUSOO,0.85116
21320,Dinosaur Fossils,2019,911,2,177.18,0,4.8,116.17,LEGO Ideas and CUUSOO,0.65566
31086,Futuristic Flyer,2019,157,0,48.3,0,4.5,28.95,Creator > Creator 3-in-1,0.59938
31087,Dune Buggy,2019,147,0,41.86,0,4.7,24.25,Creator > Creator 3-in-1,0.57931
31091,Shuttle Transporter,2019,341,0,80.52,0,4.8,56.78,Creator > Creator 3-in-1,0.70517
31094,Race Plane,2019,333,1,80.52,1,4.7,54.32,Creator > Creator 3-in-1,0.67462
31096,Twin-Rotor Helicopter,2019,569,1,144.96,1,4.7,89.36,Creator > Creator 3-in-1,0.61645
31098,Outback Cabin,2019,305,2,80.52,0,4.7,57.12,Creator > Creator 3-in-1,0.70939
41160,Ariel's Seaside Castle,2019,115,1,70.85,1,4.8,58.7,Disney Princess,0.82851
41161,Aladdin and Jasmine's Palace Adventures,2019,193,2,80.52,0,4.8,77.74,Disney Princess,0.96547
41164,Enchanted Treehouse,2019,302,3,144.96,1,4.5,81.56,Disney > Frozen,0.56264
41165,Anna's Canoe Expedition,2019,108,2,57.96,0,4.4,34.07,Disney > Frozen,0.58782
41167,Arendelle Castle Village,2019,521,3,241.62,2,4.6,128.93,Disney > Frozen,0.53361
41169,Olaf,2019,122,0,41.86,0,4.6,24.5,Disney > Frozen,0.58528
41337,Underwater Loop,2019,389,0,80.52,0,4.6,45.9,Friends,0.57004
41359,Heart Box Friendship Pack,2019,199,0,48.3,0,4.5,33.39,Friends,0.6913
41362,Heartlake City Supermarket,2019,139,0,80.52,0,4.6,61.98,Friends,0.76975
41364,Stephanie's Buggy & Trailer,2019,166,0,57.96,0,4.4,34.23,Friends,0.59058
41366,Olivia's Cupcake Cafe,2019,335,0,80.52,0,4.4,58.16,Friends,0.72231
41367,Stephanie's Horse Jumping,2019,352,0,112.74,0,4.6,61.05,Friends,0.54151
41368,Andrea's Talent Show,2019,492,0,144.96,0,4.5,73.11,Friends,0.50435
41369,Mia's House,2019,725,0,193.29,0,4.7,136.28,Friends,0.70505
41371,Mia's Horse Trailer,2019,216,0,80.52,0,4.7,60.49,Friends,0.75124
41373,Funny Octopus Ride,2019,324,0,112.74,0,4.6,64.39,Friends,0.57114
41374,Andrea's Pool Party,2019,468,0,144.96,0,4.7,93.02,Friends,0.64169
41375,Heartlake City Amusement Pier,2019,1267,0,386.61,0,4.7,212.31,Friends,0.54916
41376,Turtles Rescue Mission,2019,225,0,57.96,0,4.7,42.86,Friends,0.73948
41378,Dolphins Rescue Mission,2019,374,0,112.74,0,4.6,67.04,Friends,0.59464
41379,Heartlake City Restaurant,2019,640,0,177.18,0,4.6,93.03,Friends,0.52506
