Set_ID,Name,Year,Theme,Theme_Group,Pieces,Minifigures,USD_MSRP,Current_Price
5942-1,Pop Studio,2004,Belville,Girls,102.0,1.0,22.99,39.99
7235-1,Police Motorcycle,2005,City,Modern day,28.0,1.0,3.99,8.0
7236-1,Police Car,2005,City,Modern day,59.0,1.0,5.99,11.0
7238-1,Fire Helicopter,2005,City,Modern day,75.0,1.0,9.99,24.99
7239-1,Fire Truck,2005,City,Modern day,214.0,2.0,22.99,25.2
7241-1,Fire Car,2005,City,Modern day,46.0,1.0,3.99,8.0
7242-1,Street Sweeper,2005,City,Modern day,63.0,1.0,7.99,20.0
7243-1,Construction Site,2005,City,Modern day,298.0,3.0,39.99,75.0
7245-1,Prisoner Transport,2005,City,Modern day,98.0,2.0,12.99,33.7309
7246-1,Mini Digger,2005,City,Modern day,36.0,1.0,3.99,10.0
7249-1,XXL Mobile Crane,2005,City,Modern day,524.0,2.0,69.99,210.0
10144-1,Sandcrawler,2005,Star Wars,Licensed,1669.0,11.0,139.99,388.88
3825-1,Krusty Krab,2006,SpongeBob SquarePants,Licensed,295.0,3.0,19.99,218.0
3827-1,Adventures in Bikini Bottom,2006,SpongeBob SquarePants,Licensed,579.0,3.0,39.99,249.99
4962-1,Baby Zoo,2006,Duplo,Pre-school,18.0,1.0,9.99,66.752
6205-1,V-wing Fighter,2006,Star Wars,Licensed,118.0,1.0,10.0,46.3719
6208-1,B-wing Fighter,2006,Star Wars,Licensed,435.0,2.0,34.99,150.0
6209-1,Slave I,2006,Star Wars,Licensed,537.0,4.0,49.99,350.0
6210-1,Jabba's Sail Barge,2006,Star Wars,Licensed,781.0,8.0,74.99,619.5476
6211-1,Imperial Star Destroyer,2006,Star Wars,Licensed,1367.0,9.0,99.99,399.99
6212-1,X-wing Fighter,2006,Star Wars,Licensed,437.0,6.0,49.99,95.4406
7021-1,Viking Double Catapult vs. the Armored Ofnir Dragon,2006,Vikings,Historical,505.0,3.0,39.99,90.0
7700-1,Stealth Hunter,2006,Exo-Force,Action/Adventure,164.0,1.0,14.99,74.0969
7707-1,Striking Venom,2006,Exo-Force,Action/Adventure,646.0,6.0,49.99,100.0
7711-1,Sentry,2006,Exo-Force,Action/Adventure,78.0,1.0,4.99,18.5242
7781-1,The Batmobile: Two-Face's Escape,2006,Batman,Licensed,386.0,3.0,29.99,249.99
7785-1,Arkham Asylum,2006,Batman,Licensed,860.0,7.0,79.99,499.99
7890-1,Ambulance,2006,City,Modern day,118.0,1.0,7.99,49.99
7891-1,Airport Fire Truck,2006,City,Modern day,148.0,1.0,14.99,39.55
7901-1,Airplane Mechanic,2006,City,Modern day,26.0,1.0,3.49,17.0
7902-1,Doctor's Car,2006,City,Modern day,66.0,1.0,5.99,24.99
7903-1,Rescue Helicopter,2006,City,Modern day,249.0,3.0,19.99,55.0
7905-1,Building Crane,2006,City,Modern day,721.0,3.0,69.99,330.3712
8624-1,Race for the Mask of Life,2006,Bionicle,Constraction,507.0,8.0,59.99,90.0
10173-1,Holiday Train,2006,Advanced models,Model making,965.0,7.0,89.99,499.97
10176-1,King's Castle,2006,Castle,Historical,869.0,12.0,99.99,499.0
4936-1,Doc & Patient,2007,City,Modern day,18.0,2.0,2.99,22.0
4982-1,Mrs. Puff's Boating School,2007,SpongeBob SquarePants,Licensed,393.0,3.0,49.99,149.99
7029-1,Skeleton Ship Attack,2007,Castle,Historical,628.0,7.0,69.99,400.0
7036-1,Dwarves' Mine,2007,Castle,Historical,575.0,7.0,59.99,255.109
7090-1,Crossbow Attack,2007,Castle,Historical,54.0,3.0,5.99,39.99
7091-1,Knight's Catapult Defense,2007,Castle,Historical,123.0,4.0,9.99,59.99
7093-1,Skeleton Tower,2007,Castle,Historical,398.0,5.0,49.99,313.5
7582-1,Royal Summer Palace,2007,Belville,Girls,167.0,3.0,59.99,200.0
7654-1,Droids Battle Pack,2007,Star Wars,Licensed,102.0,7.0,9.99,74.95
7655-1,Clone Troopers Battle Pack,2007,Star Wars,Licensed,58.0,4.0,9.99,95.0
7656-1,General Grievous Starfighter,2007,Star Wars,Licensed,232.0,1.0,19.99,59.7246
7658-1,Y-wing Fighter,2007,Star Wars,Licensed,454.0,2.0,39.99,74.0594
7659-1,Imperial Landing Craft,2007,Star Wars,Licensed,471.0,5.0,49.99,107.8926
7660-1,Naboo N-1 Starfighter with Vulture Droid,2007,Star Wars,Licensed,280.0,3.0,29.99,110.0
7661-1,Jedi Starfighter with Hyperdrive Booster Ring,2007,Star Wars,Licensed,575.0,2.0,49.99,330.0
7662-1,Trade Federation MTT,2007,Star Wars,Licensed,1330.0,21.0,99.99,806.9676
7663-1,Sith Infiltrator,2007,Star Wars,Licensed,310.0,1.0,29.99,90.0
7664-1,TIE Crawler,2007,Star Wars,Licensed,548.0,2.0,49.99,189.0
7665-1,Republic Cruiser,2007,Star Wars,Licensed,919.0,5.0,89.99,328.4855
7666-1,Hoth Rebel Base,2007,Star Wars,Licensed,548.0,8.0,49.99,130.0
7690-1,MB-01 Eagle Command Base,2007,Space,Action/Adventure,760.0,8.0,89.99,197.991
7691-1,ETX Alien Mothership Assault ,2007,Space,Action/Adventure,434.0,7.0,49.99,180.0
7692-1,MX-71 Recon Dropship ,2007,Space,Action/Adventure,435.0,6.0,39.99,151.65
